,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.1,0.018,0.004,0.002,0.04,0.016,0.002,0.0,0.024,0.024,0.016,0.02,0.0,0.206,0.032,0.076,0.066,0.0,0.066,0.008,0.008,0.018,0.054,0.026,0.004,0.018,0.016,0.038,0.098,0.0,0.0
1,0.094,0.03,0.012,0.0,0.06,0.006,0.0,0.0,0.014,0.028,0.006,0.078,0.002,0.202,0.02,0.03,0.142,0.0,0.096,0.008,0.0,0.006,0.016,0.002,0.0,0.05,0.01,0.016,0.07,0.002,0.0
2,0.002,0.02,0.004,0.0,0.0,0.012,0.008,0.0,0.072,0.032,0.01,0.036,0.0,0.31,0.0,0.068,0.028,0.006,0.016,0.004,0.0,0.006,0.05,0.0,0.026,0.284,0.0,0.006,0.0,0.0,0.0
3,0.018,0.022,0.024,0.002,0.0,0.028,0.004,0.002,0.056,0.026,0.006,0.056,0.0,0.152,0.014,0.022,0.032,0.002,0.258,0.004,0.0,0.002,0.008,0.0,0.102,0.104,0.004,0.046,0.006,0.0,0.0
4,0.05,0.046,0.024,0.0,0.022,0.018,0.004,0.004,0.004,0.054,0.014,0.198,0.0,0.088,0.006,0.152,0.092,0.038,0.082,0.016,0.0,0.002,0.01,0.0,0.002,0.012,0.008,0.03,0.024,0.0,0.0
5,0.17,0.022,0.006,0.002,0.006,0.0,0.0,0.004,0.078,0.03,0.014,0.032,0.002,0.026,0.002,0.076,0.068,0.0,0.038,0.004,0.004,0.006,0.008,0.018,0.014,0.092,0.034,0.144,0.1,0.0,0.0
6,0.0,0.188,0.066,0.0,0.012,0.0,0.006,0.03,0.0,0.0,0.002,0.096,0.01,0.048,0.008,0.0,0.004,0.038,0.038,0.174,0.0,0.004,0.002,0.0,0.03,0.002,0.0,0.17,0.022,0.048,0.002
7,0.05,0.036,0.024,0.002,0.0,0.054,0.0,0.032,0.03,0.012,0.004,0.1,0.008,0.162,0.04,0.03,0.092,0.0,0.078,0.026,0.004,0.038,0.028,0.008,0.002,0.012,0.002,0.078,0.046,0.002,0.0
8,0.02,0.036,0.002,0.0,0.0,0.018,0.0,0.006,0.016,0.104,0.002,0.07,0.0,0.516,0.016,0.004,0.104,0.0,0.01,0.002,0.0,0.014,0.0,0.004,0.002,0.026,0.0,0.022,0.004,0.002,0.0
9,0.006,0.024,0.034,0.002,0.008,0.004,0.004,0.004,0.002,0.01,0.012,0.12,0.002,0.088,0.01,0.058,0.06,0.016,0.23,0.036,0.002,0.008,0.024,0.0,0.004,0.01,0.06,0.118,0.044,0.0,0.0
10,0.026,0.098,0.002,0.0,0.0,0.022,0.002,0.0,0.012,0.04,0.004,0.012,0.0,0.29,0.008,0.01,0.34,0.01,0.014,0.002,0.0,0.036,0.024,0.004,0.002,0.022,0.002,0.008,0.006,0.002,0.002
11,0.0,0.068,0.03,0.004,0.016,0.014,0.006,0.01,0.006,0.006,0.018,0.004,0.008,0.1,0.0,0.012,0.034,0.002,0.196,0.026,0.03,0.0,0.002,0.014,0.044,0.02,0.022,0.204,0.098,0.0,0.006
12,0.102,0.022,0.008,0.004,0.064,0.012,0.002,0.004,0.08,0.02,0.002,0.02,0.0,0.106,0.008,0.062,0.128,0.004,0.062,0.008,0.002,0.036,0.054,0.01,0.0,0.034,0.01,0.028,0.108,0.0,0.0
13,0.096,0.038,0.0,0.0,0.0,0.094,0.0,0.002,0.05,0.068,0.0,0.066,0.0,0.206,0.012,0.024,0.134,0.002,0.022,0.004,0.0,0.108,0.012,0.004,0.002,0.038,0.002,0.016,0.0,0.0,0.0
14,0.014,0.042,0.032,0.022,0.0,0.032,0.002,0.0,0.028,0.012,0.002,0.058,0.01,0.134,0.016,0.024,0.07,0.006,0.066,0.022,0.01,0.002,0.094,0.048,0.004,0.018,0.004,0.08,0.148,0.0,0.0
15,0.024,0.028,0.002,0.0,0.0,0.27,0.01,0.012,0.002,0.028,0.04,0.02,0.006,0.15,0.012,0.108,0.012,0.0,0.046,0.016,0.006,0.03,0.03,0.002,0.03,0.028,0.0,0.034,0.0,0.018,0.036
16,0.036,0.014,0.016,0.002,0.0,0.102,0.0,0.002,0.0,0.034,0.008,0.026,0.004,0.016,0.0,0.022,0.026,0.018,0.076,0.028,0.042,0.0,0.14,0.024,0.026,0.028,0.0,0.294,0.01,0.006,0.0
17,0.04,0.072,0.008,0.004,0.0,0.1,0.0,0.002,0.0,0.08,0.054,0.016,0.002,0.05,0.066,0.134,0.008,0.006,0.076,0.024,0.012,0.022,0.034,0.0,0.01,0.036,0.004,0.06,0.01,0.034,0.036
18,0.124,0.05,0.03,0.0,0.0,0.048,0.002,0.014,0.032,0.084,0.002,0.032,0.004,0.09,0.0,0.084,0.072,0.004,0.038,0.012,0.002,0.034,0.004,0.0,0.014,0.042,0.0,0.146,0.028,0.002,0.006
19,0.04,0.064,0.006,0.0,0.0,0.164,0.006,0.022,0.0,0.028,0.024,0.028,0.004,0.182,0.008,0.152,0.004,0.004,0.088,0.016,0.004,0.018,0.03,0.002,0.024,0.014,0.0,0.04,0.0,0.006,0.022
20,0.072,0.056,0.01,0.002,0.006,0.03,0.0,0.014,0.008,0.042,0.03,0.042,0.004,0.132,0.044,0.018,0.028,0.01,0.116,0.004,0.0,0.082,0.036,0.096,0.014,0.006,0.004,0.054,0.038,0.0,0.002
21,0.002,0.042,0.012,0.0,0.0,0.088,0.04,0.012,0.0,0.054,0.008,0.026,0.006,0.046,0.006,0.04,0.014,0.018,0.102,0.044,0.024,0.044,0.048,0.052,0.12,0.026,0.0,0.088,0.014,0.022,0.002
22,0.012,0.024,0.032,0.006,0.004,0.01,0.002,0.006,0.014,0.05,0.006,0.032,0.002,0.034,0.002,0.118,0.018,0.018,0.25,0.024,0.006,0.006,0.048,0.014,0.03,0.018,0.018,0.118,0.074,0.0,0.004
23,0.038,0.016,0.022,0.014,0.0,0.122,0.002,0.08,0.002,0.024,0.118,0.044,0.012,0.082,0.006,0.036,0.026,0.0,0.084,0.042,0.0,0.002,0.028,0.09,0.01,0.014,0.0,0.074,0.006,0.004,0.002
24,0.024,0.038,0.04,0.006,0.008,0.034,0.008,0.042,0.02,0.044,0.008,0.046,0.012,0.13,0.006,0.02,0.014,0.012,0.12,0.052,0.0,0.01,0.052,0.016,0.022,0.04,0.008,0.144,0.012,0.004,0.008
25,0.036,0.106,0.004,0.0,0.0,0.068,0.006,0.002,0.042,0.014,0.008,0.11,0.006,0.262,0.02,0.016,0.196,0.004,0.012,0.014,0.012,0.008,0.01,0.0,0.016,0.004,0.0,0.024,0.0,0.0,0.0
26,0.052,0.052,0.044,0.0,0.04,0.01,0.0,0.0,0.056,0.036,0.01,0.106,0.0,0.13,0.018,0.1,0.042,0.0,0.158,0.026,0.002,0.016,0.002,0.0,0.002,0.022,0.03,0.032,0.014,0.0,0.0
27,0.002,0.148,0.044,0.0,0.052,0.0,0.018,0.0,0.0,0.0,0.004,0.01,0.0,0.012,0.01,0.002,0.006,0.018,0.128,0.12,0.0,0.0,0.02,0.0,0.02,0.008,0.012,0.194,0.074,0.096,0.002
28,0.006,0.076,0.012,0.002,0.0,0.028,0.018,0.002,0.0,0.038,0.008,0.006,0.006,0.028,0.016,0.006,0.008,0.04,0.084,0.008,0.04,0.04,0.24,0.002,0.024,0.064,0.01,0.154,0.014,0.018,0.002
29,0.086,0.068,0.014,0.006,0.016,0.014,0.006,0.006,0.02,0.106,0.01,0.092,0.002,0.072,0.012,0.092,0.072,0.002,0.06,0.006,0.002,0.01,0.026,0.012,0.018,0.018,0.012,0.036,0.104,0.0,0.0
30,0.0,0.036,0.03,0.01,0.004,0.006,0.0,0.0,0.0,0.012,0.026,0.034,0.006,0.046,0.016,0.012,0.084,0.024,0.084,0.018,0.024,0.006,0.06,0.012,0.012,0.01,0.024,0.06,0.344,0.0,0.0
31,0.024,0.082,0.016,0.0,0.006,0.036,0.018,0.016,0.02,0.03,0.008,0.116,0.0,0.108,0.008,0.178,0.028,0.014,0.074,0.03,0.002,0.008,0.01,0.002,0.02,0.01,0.014,0.104,0.012,0.004,0.002
