,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.036,0.038,0.002,0.0,0.002,0.03,0.002,0.0,0.002,0.076,0.042,0.0,0.0,0.004,0.136,0.024,0.004,0.004,0.01,0.326,0.008,0.048,0.01,0.026,0.078,0.018,0.0,0.06,0.004,0.0,0.01
1,0.004,0.022,0.104,0.01,0.004,0.04,0.0,0.016,0.014,0.052,0.002,0.042,0.002,0.066,0.014,0.018,0.002,0.052,0.066,0.026,0.038,0.022,0.02,0.002,0.084,0.034,0.044,0.104,0.072,0.024,0.0
2,0.146,0.08,0.0,0.0,0.002,0.05,0.0,0.0,0.084,0.192,0.038,0.0,0.0,0.02,0.056,0.038,0.044,0.016,0.022,0.044,0.006,0.044,0.026,0.006,0.022,0.012,0.004,0.032,0.01,0.002,0.004
3,0.066,0.066,0.088,0.0,0.004,0.03,0.0,0.01,0.072,0.046,0.018,0.012,0.0,0.006,0.022,0.034,0.01,0.014,0.212,0.02,0.002,0.052,0.018,0.006,0.03,0.018,0.014,0.052,0.024,0.0,0.054
4,0.08,0.02,0.01,0.0,0.002,0.04,0.0,0.01,0.008,0.162,0.032,0.02,0.0,0.066,0.014,0.026,0.012,0.0,0.074,0.012,0.006,0.036,0.002,0.07,0.014,0.006,0.01,0.216,0.03,0.0,0.022
5,0.004,0.03,0.02,0.0,0.002,0.1,0.0,0.02,0.002,0.038,0.006,0.012,0.002,0.06,0.026,0.04,0.018,0.002,0.058,0.216,0.004,0.016,0.016,0.044,0.012,0.064,0.004,0.09,0.078,0.0,0.016
6,0.11,0.006,0.002,0.004,0.014,0.008,0.0,0.02,0.006,0.032,0.058,0.04,0.002,0.124,0.018,0.022,0.044,0.0,0.078,0.0,0.002,0.01,0.0,0.024,0.006,0.018,0.006,0.32,0.018,0.0,0.008
7,0.148,0.024,0.01,0.0,0.01,0.05,0.01,0.006,0.04,0.15,0.03,0.004,0.0,0.058,0.046,0.08,0.004,0.002,0.056,0.042,0.0,0.032,0.008,0.014,0.002,0.02,0.054,0.044,0.04,0.0,0.016
8,0.046,0.044,0.01,0.0,0.002,0.052,0.0,0.002,0.046,0.076,0.024,0.054,0.002,0.114,0.02,0.036,0.076,0.002,0.156,0.004,0.01,0.036,0.006,0.028,0.016,0.008,0.014,0.068,0.03,0.0,0.018
9,0.226,0.052,0.006,0.0,0.002,0.07,0.006,0.008,0.084,0.082,0.012,0.008,0.0,0.038,0.022,0.024,0.04,0.01,0.038,0.026,0.008,0.026,0.022,0.016,0.012,0.038,0.02,0.098,0.006,0.0,0.0
10,0.01,0.106,0.0,0.0,0.008,0.036,0.0,0.03,0.006,0.048,0.066,0.01,0.0,0.06,0.016,0.014,0.02,0.006,0.104,0.056,0.002,0.054,0.0,0.024,0.07,0.03,0.0,0.194,0.014,0.0,0.016
11,0.224,0.016,0.0,0.0,0.0,0.088,0.0,0.008,0.016,0.214,0.042,0.022,0.0,0.024,0.012,0.062,0.026,0.0,0.034,0.012,0.0,0.06,0.0,0.052,0.002,0.01,0.004,0.06,0.006,0.0,0.006
12,0.034,0.01,0.0,0.0,0.002,0.014,0.0,0.016,0.012,0.056,0.082,0.006,0.0,0.11,0.012,0.012,0.03,0.0,0.124,0.014,0.0,0.012,0.0,0.028,0.006,0.016,0.008,0.352,0.04,0.0,0.004
13,0.03,0.052,0.012,0.0,0.004,0.01,0.0,0.0,0.038,0.056,0.026,0.042,0.002,0.096,0.012,0.018,0.104,0.008,0.128,0.002,0.01,0.01,0.0,0.07,0.008,0.02,0.002,0.132,0.012,0.0,0.096
